millis,rssi,label
1682314,-61,moving
1685705,-68,moving
1688895,-66,moving
1692286,-63,moving
1695677,-68,moving
1699068,-71,moving
1702459,-65,moving
1705850,-75,moving
1709041,-69,moving
1712432,-69,moving
1715823,-67,moving
1719214,-62,moving
1722605,-63,moving
1725996,-62,moving
1729387,-63,moving
1732778,-65,moving
1736169,-62,moving
1739560,-75,moving
1742951,-63,moving
1746342,-63,moving
1749733,-64,moving
1753124,-59,moving
1756515,-65,moving
1759906,-71,moving
2963448,-65,empty
2966638,-62,empty
2969629,-63,empty
2972820,-66,empty
2975810,-62,empty
2979001,-63,empty
2982192,-67,empty
2985383,-63,empty
2988573,-64,empty
2991764,-62,empty
2994955,-65,empty
2998146,-63,empty
3001336,-61,empty
3004527,-65,empty
3007718,-62,empty
3010908,-60,empty
3014099,-62,empty
3017290,-62,empty
3020481,-64,empty
3023671,-62,empty
3026862,-66,empty
3029853,-63,empty
3033044,-65,empty
3036234,-64,empty
3039425,-63,empty
3042616,-62,empty
3045806,-62,empty
3048997,-61,empty
3052188,-61,empty
3055379,-62,empty
3058569,-62,empty
3061760,-60,empty
3064951,-63,empty
3068142,-61,empty
3071333,-65,empty
3074523,-64,empty
3077714,-63,empty
3080905,-62,empty
3084096,-64,empty
3087286,-66,empty
3090477,-63,empty
3093668,-63,empty
3096859,-61,empty
3100050,-63,empty
3103241,-61,empty
3106431,-63,empty
3109622,-62,empty
3112813,-64,empty
3116003,-65,empty
3119194,-63,empty
3122385,-62,empty
3125576,-65,empty
3128766,-66,empty
3131957,-63,empty
3135148,-62,empty
3138339,-63,empty
3141529,-63,empty
3144720,-65,empty
3147911,-67,empty
3151102,-64,empty
3154292,-67,empty
3157483,-64,empty
3160674,-63,empty
3163865,-61,empty
3167055,-67,empty
3170246,-61,empty
3173437,-64,empty
3176628,-64,empty
3179819,-64,empty
3183010,-65,empty
3186200,-67,empty
3189391,-66,empty
3192582,-65,empty
3195773,-64,empty
3198964,-67,empty
3202155,-66,empty
3205345,-65,empty
3208536,-62,empty
3211727,-63,empty
3214918,-64,empty
3218108,-67,empty
3221299,-65,empty
3224490,-64,empty
3227681,-63,empty
3230872,-64,empty
3234062,-66,empty
3237253,-64,empty
3240444,-64,empty
3243635,-65,empty
3246825,-65,empty
3250016,-63,empty
3253207,-65,empty
3256398,-63,empty
3259589,-65,empty
3262779,-64,empty
3265970,-65,empty
3269161,-63,empty
3272351,-64,empty
3275542,-63,empty
3278733,-64,empty
3281923,-63,empty
3285114,-64,empty
3288305,-64,empty
3291495,-64,empty
3294686,-62,empty
3297877,-63,empty
3301068,-65,empty
3304258,-66,empty
3307449,-64,empty
3310640,-66,empty
3313631,-63,empty
3316821,-64,empty
3320012,-64,empty
3323203,-61,empty
3326393,-62,empty
3329584,-61,empty
3332775,-62,empty
3335965,-64,empty
3339156,-61,empty
3342347,-62,empty
3345538,-64,empty
3348728,-68,empty
3351719,-62,empty
3354909,-64,empty
3358100,-64,empty
3361290,-64,empty
3364481,-63,empty
3367672,-62,empty
3370662,-62,empty
3373853,-63,empty
3377044,-62,empty
3380234,-64,empty
3383225,-61,empty
3386215,-62,empty
3389406,-62,empty
3392597,-63,empty
3395787,-63,empty
3398978,-67,empty
3402169,-63,empty
3405360,-64,empty
3408350,-62,empty
3411541,-65,empty
3414531,-64,empty
3417522,-64,empty
3420512,-63,empty
3423503,-64,empty
3426694,-64,empty
3429684,-64,empty
3432675,-64,empty
3435865,-63,empty
3439056,-64,empty
3442247,-64,empty
3445438,-65,empty
3448628,-66,empty
3451819,-64,empty
3455010,-63,empty
3458201,-63,empty
3461391,-62,empty
3464582,-62,empty
3467773,-63,empty
3470964,-63,empty
3474154,-66,empty
3477345,-62,empty
3480536,-61,empty
3483727,-66,empty
3486917,-61,empty
3490108,-63,empty
3493299,-62,empty
3496289,-63,empty
3499480,-63,empty
3502471,-63,empty
3505661,-63,empty
3508852,-63,empty
3511842,-64,empty
3515033,-61,empty
3518024,-62,empty
3521215,-61,empty
3524405,-61,empty
3527596,-62,empty
3530587,-62,empty
3533777,-63,empty
3536968,-63,empty
3540159,-69,empty
3543349,-65,empty
3546540,-64,empty
3549731,-64,empty
3552922,-65,empty
3556113,-61,empty
3559303,-62,empty
3562494,-64,empty
3565685,-63,empty
3568876,-65,empty
3572067,-63,empty
3575257,-64,empty
3578448,-62,empty
3581639,-64,empty
3584829,-62,empty
3588020,-64,empty
3591211,-63,empty
3594402,-63,empty
3597592,-65,empty
3600783,-62,empty
3603974,-66,empty
3607165,-64,empty
3610356,-68,empty
3613546,-66,empty
3616737,-67,empty
3619928,-64,empty
3622918,-66,empty
3625909,-64,empty
3629100,-62,empty
3632291,-62,empty
3635481,-63,empty
3638672,-64,empty
3641863,-67,empty
3645054,-63,empty
3648244,-65,empty
3651435,-61,empty
3654626,-61,empty
3657817,-61,empty
3660807,-63,empty
3663798,-62,empty
3666788,-63,empty
3669779,-63,empty
3672769,-63,empty
3675760,-65,empty
3678951,-65,empty
3681741,-64,empty
3684531,-65,empty
3687522,-65,empty
3690713,-62,empty
3693703,-64,empty
3696894,-62,empty
3699884,-63,empty
3702875,-61,empty
3706065,-64,empty
3708856,-65,empty
3712046,-63,empty
3715237,-61,empty
3718227,-63,empty
3721218,-63,empty
3724209,-65,empty
3727399,-62,empty
3730590,-62,empty
3733781,-62,empty
3737172,-62,empty
3740362,-62,empty
3743353,-63,empty
3746544,-62,empty
3749734,-63,empty
3752925,-61,empty
3755916,-62,empty
3759107,-64,empty
3762297,-66,empty
3765488,-63,empty
3768679,-62,empty
3771870,-61,empty
3775061,-62,empty
3778251,-64,empty
3781442,-64,empty
3784633,-63,empty
3787824,-63,empty
3791014,-64,empty
3794205,-67,empty
3797396,-65,empty
3800587,-65,empty
3803778,-63,empty
3806968,-65,empty
3810159,-62,empty
3813350,-64,empty
3816540,-67,empty
3819731,-65,empty
3822922,-64,empty
3826113,-64,empty
3829303,-65,empty
3832494,-65,empty
3835685,-67,empty
3838876,-65,empty
3842067,-63,empty
3845257,-66,empty
3848448,-63,empty
3851639,-63,empty
3854830,-63,empty
3858021,-64,empty
3861212,-63,empty
3864403,-64,empty
3867593,-66,empty
3870784,-64,empty
3873975,-66,empty
3877166,-64,empty
3880357,-64,empty
3883547,-66,empty
3886738,-63,empty
3889929,-64,empty
3893120,-64,empty
3896311,-63,empty
3899502,-63,empty
3902692,-66,empty
3905883,-60,empty
3909074,-64,empty
3912265,-65,empty
